,Transaction ID,Date of Travel,Company,City,KM Travelled,Price Charged,Cost of Trip,Customer ID,Payment_Mode,Customer_gender,Customer_age,Income (USD/Month)
0,10000011,09-01-2086,Pink Cab,ATLANTA GA,30.45,370.95,313.635,29290,Card,Male,28,10813
1,10000012,07-01-2086,Pink Cab,ATLANTA GA,28.62,358.52,334.854,27703,Card,Male,27,9237
2,10000013,03-01-2086,Pink Cab,ATLANTA GA,9.04,125.2,97.632,28712,Cash,Male,53,11242
3,10000014,08-01-2086,Pink Cab,ATLANTA GA,33.17,377.4,351.602,28020,Cash,Male,23,23327
4,10000015,04-01-2086,Pink Cab,ATLANTA GA,8.73,114.62,97.776,27182,Card,Male,33,8536
5,10000016,08-01-2086,Pink Cab,ATLANTA GA,6.06,72.43,63.024,27318,Cash,Male,25,13984
6,10000017,04-01-2086,Pink Cab,AUSTIN TX,44.0,576.15,475.2,33788,Card,Male,23,23788
7,10000018,08-01-2086,Pink Cab,AUSTIN TX,35.65,466.1,377.89,34106,Card,Male,19,19980
8,10000019,13-01-2086,Pink Cab,BOSTON MA,14.4,191.61,146.88,59799,Cash,Male,33,19271
9,10000020,07-01-2086,Pink Cab,BOSTON MA,10.89,156.98,113.256,57982,Cash,Male,57,5068
10,10000021,12-01-2086,Pink Cab,BOSTON MA,39.6,570.83,475.2,58774,Cash,Male,20,23602
11,10000022,07-01-2086,Pink Cab,BOSTON MA,21.8,317.27,220.18,58627,Card,Male,28,27338
12,10000023,12-01-2086,Pink Cab,BOSTON MA,12.0,158.01,134.4,59007,Card,Male,63,6683
13,10000024,07-01-2086,Pink Cab,BOSTON MA,32.67,470.94,392.04,58215,Cash,Male,25,6862
14,10000025,09-01-2086,Pink Cab,BOSTON MA,25.52,360.79,298.584,59372,Cash,Male,53,4912
15,10000026,11-01-2086,Pink Cab,BOSTON MA,15.54,234.78,169.386,57950,Cash,Male,58,16997
16,10000027,08-01-2086,Pink Cab,BOSTON MA,6.65,101.39,76.475,59533,Card,Male,29,17520
17,10000028,09-01-2086,Pink Cab,BOSTON MA,34.22,498.02,407.218,58346,Cash,Male,27,21650
18,10000029,03-01-2086,Pink Cab,BOSTON MA,21.34,324.21,226.204,58925,Card,Male,38,26550
19,10000030,03-01-2086,Pink Cab,BOSTON MA,41.3,646.06,454.3,58551,Card,Male,25,21734
20,10000031,07-01-2086,Pink Cab,BOSTON MA,1.96,27.71,20.776,59804,Card,Male,31,4550
21,10000032,08-01-2086,Pink Cab,BOSTON MA,13.44,193.74,145.152,57200,Card,Male,23,3268
22,10001809,18-01-2086,Yellow Cab,BOSTON MA,27.54,438.01,337.0896,57200,Cash,Male,23,3268
23,10000033,13-01-2086,Pink Cab,BOSTON MA,23.4,295.15,259.74,57931,Cash,Male,40,5666
24,10000034,04-01-2086,Pink Cab,CHICAGO IL,23.2,396.73,278.4,3077,Cash,Male,22,16759
25,10001838,10-01-2086,Yellow Cab,CHICAGO IL,6.48,150.6,90.2016,3077,Card,Male,22,16759
26,10000035,10-01-2086,Pink Cab,CHICAGO IL,4.48,55.27,51.52,4734,Card,Male,33,30608
27,10000624,09-01-2086,Yellow Cab,CHICAGO IL,24.64,540.84,304.5504,4734,Card,Male,33,30608
28,10000036,12-01-2086,Pink Cab,CHICAGO IL,37.76,541.76,407.808,4004,Card,Male,18,3896
29,10000037,12-01-2086,Pink Cab,CHICAGO IL,14.56,191.33,171.808,5528,Card,Male,34,14974
30,10000038,09-01-2086,Pink Cab,CHICAGO IL,39.55,540.93,454.825,5785,Card,Male,21,11230
31,10000039,11-01-2086,Pink Cab,CHICAGO IL,6.66,95.55,68.598,3714,Cash,Male,33,4521
32,10000040,08-01-2086,Pink Cab,CHICAGO IL,37.05,447.12,381.615,3746,Card,Male,24,2371
33,10000041,03-01-2086,Pink Cab,CHICAGO IL,35.02,598.43,406.232,4289,Card,Male,19,28719
34,10000042,11-01-2086,Pink Cab,CHICAGO IL,9.09,129.2,98.172,5777,Cash,Male,24,28850
35,10001941,11-01-2086,Yellow Cab,CHICAGO IL,38.4,846.7,465.408,5777,Card,Male,24,28850
36,10000043,04-01-2086,Pink Cab,CHICAGO IL,41.2,628.02,482.04,3571,Card,Male,44,15166
37,10000044,08-01-2086,Pink Cab,CHICAGO IL,24.2,330.99,266.2,4779,Cash,Male,27,6416
38,10000045,03-01-2086,Pink Cab,CHICAGO IL,3.24,48.04,33.696,5734,Card,Male,23,22475
39,10000046,04-01-2086,Pink Cab,CHICAGO IL,7.91,114.86,94.129,5734,Cash,Male,23,22475
40,10000047,07-01-2086,Pink Cab,CHICAGO IL,24.75,345.15,294.525,3051,Card,Male,30,34757
41,10000048,03-01-2086,Pink Cab,CHICAGO IL,14.04,223.6,140.4,5915,Card,Male,26,24115
42,10000049,03-01-2086,Pink Cab,CHICAGO IL,27.82,451.22,303.238,5628,Cash,Male,33,15231
43,10000050,03-01-2086,Pink Cab,CHICAGO IL,10.2,165.77,116.28,3125,Cash,Male,25,9562
44,10000051,11-01-2086,Pink Cab,CHICAGO IL,33.25,441.39,335.825,4813,Cash,Male,46,24809
45,10000052,11-01-2086,Pink Cab,CHICAGO IL,38.42,556.38,441.83,4682,Cash,Male,62,6075
46,10000053,04-01-2086,Pink Cab,CHICAGO IL,19.08,337.71,194.616,3787,Cash,Male,27,33382
47,10000054,13-01-2086,Pink Cab,CHICAGO IL,21.34,311.9,217.668,5029,Card,Male,53,3015
48,10002006,18-01-2086,Yellow Cab,CHICAGO IL,39.27,771.77,490.0896,5029,Card,Male,53,3015
49,10000055,03-01-2086,Pink Cab,CHICAGO IL,16.95,249.42,200.01,3600,Cash,Male,20,4277
50,10000056,10-01-2086,Pink Cab,CHICAGO IL,31.68,458.78,316.8,4606,Card,Male,27,8633
51,10000057,10-01-2086,Pink Cab,CHICAGO IL,13.2,191.16,149.16,3546,Cash,Male,47,5340
52,10000058,11-01-2086,Pink Cab,CHICAGO IL,15.21,218.23,155.142,5707,Card,Male,20,15397
53,10000059,13-01-2086,Pink Cab,CHICAGO IL,30.9,439.2,339.9,4457,Cash,Male,22,18960
54,10000060,03-01-2086,Pink Cab,CHICAGO IL,35.34,500.22,395.808,3330,Card,Male,46,5216
55,10000061,11-01-2086,Pink Cab,CHICAGO IL,40.12,581.0,461.38,5094,Card,Male,43,27243
56,10000062,04-01-2086,Pink Cab,CHICAGO IL,7.49,113.79,74.9,5284,Cash,Male,53,5084
57,10000063,11-01-2086,Pink Cab,CHICAGO IL,28.34,387.61,334.412,5741,Cash,Male,44,21700
58,10000064,07-01-2086,Pink Cab,DALLAS TX,9.45,73.43,98.28,25949,Card,Male,32,31491
59,10000065,12-01-2086,Pink Cab,DALLAS TX,4.9,35.76,49.49,24086,Card,Male,60,19410
60,10000066,03-01-2086,Pink Cab,DALLAS TX,13.13,122.42,149.682,25155,Card,Male,27,10997
61,10000067,03-01-2086,Pink Cab,DALLAS TX,33.32,308.58,386.512,25247,Cash,Male,26,24178
62,10000068,12-01-2086,Pink Cab,DALLAS TX,4.52,38.31,52.884,24530,Cash,Male,47,10312
